# Which of the language's 114 lexer words each editor integration actually knows.
# One row per word in surface.lock's `keywords` (the lexer's own word set), with
# the verdict MEASURED rather than read off the grammar source: the `zed` column
# is the tree-sitter node kind the word lexes to, the `vscode` column is the
# first tmLanguage pattern whose `match` spans the whole word. `identifier` /
# `none` means the editors treat it as an ordinary name.
#
# It exists because `packed` shipped in V2 and both grammars read it as an
# identifier for a day: the Zed corpus lane still parsed 1339 files green,
# because a word the grammar does not know is not a parse error. Nothing in the
# tree could redden. scripts/editors_check.sh checks every row against a real
# parse, so a new keyword that misses an editor is now a red lane.
#
# word	zed	vscode	reason
and	keyword	keyword.operator.word.tycho	word operator
args	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
bool	type	storage.type.tycho	built-in type name
bounded	keyword	keyword.other.tycho	contextual declaration keyword; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
break	keyword	keyword.control.tycho	control-flow keyword
bytes	type	storage.type.tycho	hard-reserved type name (TK_KW_BYTES in src/tychoc.c@keyword) -- added to both grammars by phase V2k
channel	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
char_at	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
chr	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
clock	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
close	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
const	keyword	keyword.other.tycho	contextual declaration keyword; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
continue	keyword	keyword.control.tycho	control-flow keyword
core	identifier	none	only ever the `core:` prefix inside an import-path STRING (src/tychoc.c:5034); the bare word is an ordinary name -- stays plain (phase V2k)
delete	keyword	keyword.other.tycho	contextual declaration keyword; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
deprecated	identifier	none	only ever the `# deprecated:` comment marker (src/tychoc.c:147); the comment rule already colours it -- stays plain (phase V2k)
die	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
elif	keyword	keyword.control.tycho	control-flow keyword
else	keyword	keyword.control.tycho	control-flow keyword
enum	keyword	keyword.other.tycho	declaration keyword
eprint	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
eprintln	identifier	none	NOT a procedure: src/tychoc.c:7246 refuses it and names `eprint(s + "\n")`; highlighting it would paint a name the compiler rejects -- stays plain (phase V2k)
exit	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
extern	keyword	keyword.other.tycho	declaration keyword
f32	type	storage.type.tycho	hard-reserved sized type (TK_KW_F32 in src/tychoc.c@keyword) -- added to both grammars by phase V2l
fabs	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
false	constant	constant.language.tycho	literal constant
find	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
float	type	storage.type.tycho	built-in type name
floor	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
fn	keyword	keyword.other.tycho	declaration keyword
for	keyword	keyword.control.tycho	control-flow keyword
from_bytes	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
get	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
getenv	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
handle	keyword	keyword.other.tycho	hard-reserved declaration keyword (TK_HANDLE in src/tychoc.c@keyword) -- added to both grammars by phase V2k
hash	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
i16	type	storage.type.tycho	hard-reserved sized type (TK_KW_I16 in src/tychoc.c@keyword) -- added to both grammars by phase V2l
i32	type	storage.type.tycho	hard-reserved sized type (TK_KW_I32 in src/tychoc.c@keyword) -- added to both grammars by phase V2l
i64	type	storage.type.tycho	hard-reserved sized type (TK_KW_I64 in src/tychoc.c@keyword) -- added to both grammars by phase V2l
i8	type	storage.type.tycho	hard-reserved sized type (TK_KW_I8 in src/tychoc.c@keyword) -- added to both grammars by phase V2l
if	keyword	keyword.control.tycho	control-flow keyword
import	keyword	keyword.other.tycho	declaration keyword
in	keyword	keyword.control.tycho	control-flow keyword
inout	keyword	keyword.other.tycho	declaration keyword
input	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
int	type	storage.type.tycho	built-in type name
is	keyword	keyword.operator.word.tycho	word operator
is_null	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
keys	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
len	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
list_dir	builtin	support.function.builtin.tycho	built-in function, listed by both grammars
map_del	identifier	none	removed from the language: src/tychoc.c:3066 refuses a user-typed call; use `delete m[k]` -- stays plain (phase V2k)
map_get	identifier	none	removed from the language: src/tychoc.c:3067 refuses a user-typed call; use `m.get(k, default)`. It WAS painted as a builtin by both grammars until phase V2k
map_has	identifier	none	removed from the language: src/tychoc.c:3065 refuses a user-typed call; use `k in m` -- stays plain (phase V2k)
map_set	identifier	none	removed from the language: src/tychoc.c:3064 refuses a user-typed call. It WAS painted as a builtin by both grammars until phase V2k -- the same defect the `range` row records
match	keyword	keyword.control.tycho	control-flow keyword
ncpu	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
not	keyword	keyword.operator.word.tycho	word operator
now	builtin	support.function.builtin.tycho	built-in function; compiles under ./tychoc, measured 2026-09-04 -- added to both grammars by phase V2k
null	constant	constant.language.tycho	literal constant
or	keyword	keyword.operator.word.tycho	word operator
or_return	keyword	keyword.control.tycho	control-flow keyword
package	keyword	keyword.other.tycho	declaration keyword
